frame_name,gt_name,width,height,time_sec,gflops,e1,ns1,streak_area,percentage_streak_area,psnr_db,ssim
frame_000324.png,frame_000000.png,1280,720,1.688592,8.725018,0.770190,0.065645,0.305077,30.507704,14.958768,0.514657
frame_000325.png,frame_000000.png,1280,720,1.636122,8.725018,0.769262,0.063046,0.306186,30.618598,15.174444,0.528170
frame_000326.png,frame_000000.png,1280,720,1.676647,8.725018,0.770501,0.067407,0.302461,30.246094,14.990722,0.509985
frame_000327.png,frame_000000.png,1280,720,1.654158,8.725018,0.766791,0.066148,0.301478,30.147786,15.080289,0.519144
frame_000328.png,frame_000000.png,1280,720,1.746736,8.725018,0.772953,0.075903,0.308614,30.861437,14.970038,0.498514
frame_000329.png,frame_000000.png,1280,720,1.641794,8.725018,0.768555,0.060894,0.303696,30.369575,15.501828,0.527418
frame_000330.png,frame_000000.png,1280,720,2.578535,8.725018,0.768312,0.060961,0.305361,30.536133,15.436036,0.523076
frame_000331.png,frame_000000.png,1280,720,2.225565,8.725018,0.764703,0.061554,0.298876,29.887587,15.557301,0.535078
frame_000332.png,frame_000000.png,1280,720,1.898202,8.725018,0.771383,0.060252,0.315301,31.530056,15.626597,0.530282
frame_000333.png,frame_000000.png,1280,720,1.646519,8.725018,0.770387,0.059515,0.309326,30.932617,15.797832,0.544871
frame_000334.png,frame_000000.png,1280,720,1.678054,8.725018,0.773938,0.062705,0.315809,31.580946,15.578329,0.527962
frame_000335.png,frame_000000.png,1280,720,1.658365,8.725018,0.768586,0.063508,0.303347,30.334744,15.679375,0.540596
frame_000336.png,frame_000000.png,1280,720,1.787218,8.725018,0.774711,0.071153,0.308121,30.812066,15.370596,0.511118
frame_000337.png,frame_000000.png,1280,720,1.652964,8.725018,0.771559,0.060751,0.303770,30.376953,15.833929,0.547719
frame_000338.png,frame_000000.png,1280,720,1.681714,8.725018,0.769316,0.060630,0.300696,30.069553,15.940900,0.549708
frame_000339.png,frame_000000.png,1280,720,1.730801,8.725018,0.768794,0.058941,0.299428,29.942817,16.016115,0.556136
frame_000340.png,frame_000000.png,1280,720,1.655967,8.725018,0.771530,0.056017,0.308741,30.874132,16.007794,0.549061
frame_000341.png,frame_000000.png,1280,720,1.585888,8.725018,0.773007,0.051534,0.306960,30.695964,16.185464,0.560730
frame_000342.png,frame_000000.png,1280,720,1.666530,8.725018,0.772766,0.059360,0.306507,30.650716,15.726858,0.543801
frame_000343.png,frame_000000.png,1280,720,1.630758,8.725018,0.769662,0.056461,0.301848,30.184787,15.875894,0.554773
frame_000344.png,frame_000000.png,1280,720,1.762239,8.725018,0.773588,0.066430,0.304291,30.429145,15.534856,0.532339
frame_000345.png,frame_000000.png,1280,720,1.750815,8.725018,0.769957,0.058777,0.300342,30.034180,15.870414,0.558984
frame_000346.png,frame_000000.png,1280,720,1.642300,8.725018,0.765239,0.055997,0.292153,29.215278,15.934220,0.553212
frame_000347.png,frame_000000.png,1280,720,2.165757,8.725018,0.765033,0.053069,0.293530,29.352973,16.300091,0.565102
frame_000348.png,frame_000000.png,1280,720,2.228919,8.725018,0.764855,0.052859,0.295438,29.543837,16.439680,0.567508
frame_000349.png,frame_000000.png,1280,720,2.091634,8.725018,0.763440,0.050030,0.289746,28.974609,16.664534,0.573810
frame_000350.png,frame_000000.png,1280,720,2.238550,8.725018,0.764624,0.058204,0.296057,29.605686,16.163593,0.554945
frame_000351.png,frame_000000.png,1280,720,2.121753,8.725018,0.760756,0.055932,0.289339,28.933919,16.151830,0.557953
frame_000352.png,frame_000000.png,1280,720,2.266035,8.725018,0.765395,0.062776,0.294358,29.435764,15.779949,0.529867
frame_000353.png,frame_000000.png,1280,720,1.639376,8.725018,0.762073,0.052437,0.291908,29.190755,16.146100,0.554854
frame_000354.png,frame_000000.png,1280,720,1.660068,8.725018,0.759231,0.057164,0.288488,28.848850,15.883632,0.547583
frame_000355.png,frame_000000.png,1280,720,1.612821,8.725018,0.757593,0.050909,0.287203,28.720269,16.289328,0.562238
frame_000356.png,frame_000000.png,1280,720,1.617711,8.725018,0.757692,0.053036,0.288761,28.876085,16.152314,0.560163
frame_000357.png,frame_000000.png,1280,720,1.618962,8.725018,0.756077,0.052841,0.281657,28.165690,16.082031,0.564584
frame_000358.png,frame_000000.png,1280,720,1.633807,8.725018,0.759540,0.059135,0.288075,28.807509,15.776790,0.551391
