frame_name,width,height,time_sec,gflops,e1,ns1,streak_area,percentage_streak_area
SIDEL_0000.jpg,1744,981,10.718630,16.246208,0.000000,0.158044,0.058401,5.840149
SIDEL_0001.jpg,1744,981,6.739634,16.246208,0.000000,0.157513,0.058245,5.824484
SIDEL_0002.jpg,1744,981,6.245592,16.246208,0.000000,0.157718,0.059269,5.926947
SIDEL_0003.jpg,1744,981,6.346905,16.246208,0.000000,0.157335,0.059225,5.922505
SIDEL_0004.jpg,1744,981,6.054855,16.246208,0.000000,0.156592,0.058301,5.830095
SIDEL_0005.jpg,1744,981,6.109495,16.246208,0.000000,0.157368,0.058544,5.854410
SIDEL_0006.jpg,1744,981,6.124877,16.246208,0.000000,0.157228,0.058023,5.802273
SIDEL_0007.jpg,1744,981,6.163964,16.246208,0.000000,0.157378,0.058649,5.864931
SIDEL_0008.jpg,1744,981,6.199981,16.246208,0.000000,0.156865,0.058743,5.874283
SIDEL_0009.jpg,1744,981,6.018887,16.246208,0.000000,0.157337,0.058868,5.886792
SIDEL_0010.jpg,1744,981,6.023628,16.246208,0.000000,0.157544,0.058700,5.869958
SIDEL_0011.jpg,1744,981,6.052056,16.246208,0.000000,0.157350,0.058674,5.867386
SIDEL_0012.jpg,1744,981,6.734507,16.246208,0.000000,0.157612,0.058406,5.840616
SIDEL_0013.jpg,1744,981,6.072653,16.246208,0.000000,0.158289,0.059092,5.909237
SIDEL_0014.jpg,1744,981,5.951951,16.246208,0.000000,0.158254,0.059493,5.949333
SIDEL_0015.jpg,1744,981,6.023709,16.246208,0.000000,0.158646,0.059622,5.962192
SIDEL_0016.jpg,1744,981,6.535013,16.246208,0.000000,0.158961,0.059621,5.962075
SIDEL_0017.jpg,1744,981,6.491604,16.246208,0.000000,0.158916,0.059274,5.927356
SIDEL_0018.jpg,1744,981,6.287413,16.246208,0.000000,0.159518,0.059632,5.963186
SIDEL_0019.jpg,1744,981,5.834582,16.246208,0.000000,0.159405,0.059669,5.966868
