frame_name,width,height,time_sec,gflops,e1,ns1,streak_area,percentage_streak_area,psnr_db,ssim
SIDEL_0000.jpg,1744,981,11.088415,16.246208,0.000000,0.158044,0.058401,5.840149,16.923622,0.719488
SIDEL_0001.jpg,1744,981,6.613766,16.246208,0.000000,0.157513,0.058245,5.824484,16.956200,0.721346
SIDEL_0002.jpg,1744,981,6.063028,16.246208,0.000000,0.157718,0.059269,5.926947,16.943688,0.721437
SIDEL_0003.jpg,1744,981,6.394448,16.246208,0.000000,0.157335,0.059225,5.922505,16.948568,0.722186
SIDEL_0004.jpg,1744,981,6.028965,16.246208,0.000000,0.156592,0.058301,5.830095,16.960181,0.722442
SIDEL_0005.jpg,1744,981,6.210542,16.246208,0.000000,0.157368,0.058544,5.854410,16.959835,0.722350
SIDEL_0006.jpg,1744,981,6.419574,16.246208,0.000000,0.157228,0.058023,5.802273,16.953591,0.722187
SIDEL_0007.jpg,1744,981,5.866915,16.246208,0.000000,0.157378,0.058649,5.864931,16.952931,0.722916
SIDEL_0008.jpg,1744,981,6.337662,16.246208,0.000000,0.156865,0.058743,5.874283,16.963591,0.723009
SIDEL_0009.jpg,1744,981,6.093521,16.246208,0.000000,0.157337,0.058868,5.886792,16.966035,0.722826
SIDEL_0010.jpg,1744,981,6.394142,16.246208,0.000000,0.157544,0.058700,5.869958,16.957846,0.722549
SIDEL_0011.jpg,1744,981,5.896745,16.246208,0.000000,0.157350,0.058674,5.867386,16.962115,0.722575
SIDEL_0012.jpg,1744,981,6.256811,16.246208,0.000000,0.157612,0.058406,5.840616,16.969218,0.723335
SIDEL_0013.jpg,1744,981,6.713841,16.246208,0.000000,0.158289,0.059092,5.909237,16.943725,0.722828
SIDEL_0014.jpg,1744,981,5.977733,16.246208,0.000000,0.158254,0.059493,5.949333,16.956578,0.723348
SIDEL_0015.jpg,1744,981,6.075366,16.246208,0.000000,0.158646,0.059622,5.962192,16.951274,0.722665
SIDEL_0016.jpg,1744,981,6.703019,16.246208,0.000000,0.158961,0.059621,5.962075,16.941156,0.722381
SIDEL_0017.jpg,1744,981,6.388871,16.246208,0.000000,0.158916,0.059274,5.927356,16.943425,0.722495
SIDEL_0018.jpg,1744,981,5.904911,16.246208,0.000000,0.159518,0.059632,5.963186,16.939620,0.722906
SIDEL_0019.jpg,1744,981,5.759405,16.246208,0.000000,0.159405,0.059669,5.966868,16.942877,0.722960
SIDEL_0020.jpg,1744,981,6.342426,16.246208,0.000000,0.159296,0.059634,5.963420,16.940146,0.722896
SIDEL_0021.jpg,1744,981,6.337378,16.246208,0.000000,0.159369,0.059405,5.940507,16.954361,0.723550
SIDEL_0022.jpg,1744,981,6.445782,16.246208,0.000000,0.159189,0.059420,5.941969,16.950395,0.723893
SIDEL_0023.jpg,1744,981,5.971974,16.246208,0.000000,0.159093,0.059032,5.903158,16.951277,0.723903
SIDEL_0024.jpg,1744,981,6.152246,16.246208,0.000000,0.159089,0.059241,5.924083,16.945122,0.723240
SIDEL_0025.jpg,1744,981,9.328535,16.246208,0.000000,0.159003,0.059726,5.972596,16.937976,0.722832
SIDEL_0026.jpg,1744,981,7.229059,16.246208,0.000000,0.158764,0.059745,5.974467,16.936725,0.722772
SIDEL_0027.jpg,1744,981,6.271042,16.246208,0.000000,0.159175,0.059665,5.966518,16.940906,0.722711
SIDEL_0028.jpg,1744,981,6.847182,16.246208,0.000000,0.159004,0.059560,5.955997,16.945101,0.723296
SIDEL_0029.jpg,1744,981,6.301690,16.246208,0.000000,0.158930,0.059061,5.906139,16.957909,0.723784
SIDEL_0030.jpg,1744,981,6.141380,16.246208,0.000000,0.159630,0.059543,5.954301,16.947915,0.723645
SIDEL_0031.jpg,1744,981,9.022464,16.246208,0.000000,0.159489,0.058937,5.893747,16.942427,0.723574
SIDEL_0032.jpg,1744,981,7.390768,16.246208,0.000000,0.159404,0.059677,5.967745,16.949648,0.724200
SIDEL_0033.jpg,1744,981,6.026609,16.246208,0.000000,0.159851,0.059126,5.912627,16.946838,0.723694
SIDEL_0034.jpg,1744,981,5.956872,16.246208,0.000000,0.159474,0.059534,5.953425,16.960237,0.724039
SIDEL_0035.jpg,1744,981,5.868344,16.246208,0.000000,0.159555,0.059702,5.970200,16.950834,0.723385
SIDEL_0036.jpg,1744,981,6.293034,16.246208,0.000000,0.159507,0.059250,5.924960,16.943563,0.723291
SIDEL_0037.jpg,1744,981,7.179697,16.246208,0.000000,0.159767,0.058847,5.884746,16.955706,0.723960
SIDEL_0038.jpg,1744,981,6.982016,16.246208,0.000000,0.159225,0.058035,5.803500,16.961700,0.724238
SIDEL_0039.jpg,1744,981,6.707388,16.246208,0.000000,0.159968,0.058930,5.892987,16.951307,0.723450
SIDEL_0040.jpg,1744,981,6.473086,16.246208,0.000000,0.159843,0.059478,5.947755,16.956130,0.723781
SIDEL_0041.jpg,1744,981,6.849500,16.246208,0.000000,0.159760,0.058674,5.867386,16.949413,0.723939
SIDEL_0042.jpg,1744,981,6.477124,16.246208,0.000000,0.158504,0.059036,5.903567,16.967151,0.724019
SIDEL_0043.jpg,1744,981,6.634868,16.246208,0.000000,0.158929,0.060021,6.002055,16.958218,0.723758
